,source,author,title,description,url,urlToImage,publishedAt,content
24,"{'id': 'abc-news', 'name': 'ABC News'}",TOM KRISHER AP Auto Writer,"Ford cutting 3,000 white-collar jobs in bid to lower costs","Ford Motor Co. is cutting about 3,000 white-collar workers as it moves reduce costs and make the transition from internal combustion to electric vehicles",https://abcnews.go.com/US/wireStory/ford-cutting-3000-white-collar-jobs-bid-lower-88696653,https://s.abcnews.com/images/US/WireAP_d1e2c062f5514cbcb187e814f711e5a7_16x9_992.jpg,2022-08-22T16:02:39Z,"DETROIT -- Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.
Leaders of the Dearborn, Michi… [+1445 chars]"
25,"{'id': None, 'name': 'Entrepreneur'}",Emily Rella,Elon Musk Accidentally Revealed His Personal Address on Twitter,Even tech CEOs are prone to simple errors.,https://www.entrepreneur.com/article/433882,https://assets.entrepreneur.com/content/3x2/2000/1661183615-GettyImages-1238366977.jpg,2022-08-22T16:00:00Z,"Although Tesla and SpaceX CEO Elon Musk frequently interacts with his almost 104 million Twitter followers, his time and attention continue to be in high demand from his fans, followers, and colleagu… [+1531 chars]"
26,"{'id': 'associated-press', 'name': 'Associated Press'}",By TOM KRISHER - AP Auto Writer,"Ford cutting 3,000 white-collar jobs in bid to lower costs","Ford Motor Co. is cutting about 3,000 white-collar workers as it moves reduce costs and make the transition from internal combustion to electric vehicles.Leaders of the Dearborn, Michigan, automaker made the announcement Monday in a companywide email, saying …",https://apnews.com/ba66a395e3d0e602f40d5a15a58d04ea,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/9/ea/9eaeec6d-c63e-5800-9afa-ab739e4afa56/6303abac01124.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2022-08-22T15:58:30Z,"By TOM KRISHER - AP Auto Writer
DETROIT (AP) Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicl… [+2623 chars]"
27,"{'id': None, 'name': 'MobileSyrup'}",Karandeep Oberoi,"Tesla to increase price of FSD Beta in the U.S., Canada might follow","Tesla CEO Elon Musk announced yesterday, Sunday, August 21st, that the cost of the company’s Full Self-Driving (FSD) Beta will increase on September 5th, 2022. “After wide release of FSD Beta 10.69.2, price of FSD will rise to $15k in North America on Septemb…",https://mobilesyrup.com/2022/08/22/tesla-fsd-beta-price-hike-in-the-united-states/,https://cdn.mobilesyrup.com/wp-content/uploads/2022/08/tesla-interior-scaled-1.jpg,2022-08-22T15:57:18Z,"Tesla CEO Elon Musk announced yesterday, Sunday, August 21st, that the cost of the company’s Full Self-Driving (FSD) Beta will increase on September 5th, 2022. “After wide release of FSD Beta 10.69.2… [+1266 chars]"
28,"{'id': None, 'name': 'Yahoo Entertainment'}",Brian Sozzi,"Tesla stock is 40% undervalued after Inflation Reduction Act signing, analyst argues","Tesla is poised to be a big winner from the Inflation Protection Act, one analyst says.",https://finance.yahoo.com/news/tesla-stock-inflation-reduction-act-significance-155640843.html,https://s.yimg.com/ny/api/res/1.2/iBgBlIbPO9b2ziBVpPhRsw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2022-04/e492a6e0-bc29-11ec-9fda-759a95cca4b6,2022-08-22T15:56:40Z,"The Inflation Reduction Act's new $7,500 tax credit for electric vehicles could be a major tailwind to Tesla stock and the company's bottom line, contends CFRA analyst Garrett Nelson.
""The signing o… [+2397 chars]"
29,"{'id': None, 'name': 'Daily Mail'}",Reuters,"Ford cuts 3,000 jobs as it pivots to a software future","Ford CEO Jim Farley has signaled that he believed the Michigan automaker had too many people, and that not enough of its workforce had the skills required as the auto industry shifts to EVs.",https://www.dailymail.co.uk/news/article-11134939/Ford-cuts-3-000-jobs-pivots-software-future.html,https://i.dailymail.co.uk/1s/2022/08/22/16/61615121-0-image-a-10_1661183542209.jpg,2022-08-22T15:56:11Z,"Ford Motor Co said it will cut a total of 3,000 salaried and contract jobs, mostly in North America and India, as it restructures to catch up with Tesla Inc in the race to develop software-driven ele… [+4532 chars]"
30,"{'id': None, 'name': 'International Business Times'}",Joseph White,"Ford Cuts 3,000 Jobs As It Pivots To EVs, Software","Ford Motor Co said it will cut a total of 3,000 salaried and contract jobs, mostly in North America and India, as it restructures to catch up with Tesla Inc in the race to develop software-driven electric vehicles.",https://www.ibtimes.com/ford-cuts-3000-jobs-it-pivots-evs-software-3604478,https://d.ibtimes.com/en/full/3806864/wheel-2018-ford-focus-displayed-launch-new-model-london.jpg,2022-08-22T15:54:06Z,"The wheel of a 2018 Ford Focus is displayed at the launch for the new model in London, Britain, April 10, 2018. 
Ford Motor Co said it will cut a total of 3,000 salaried and contract jobs, mostly in… [+1606 chars]"
31,"{'id': None, 'name': 'Corriere.it'}",,Uomo si fa impiantare un chip sottopelle per aprire la Tesla,"Il video pubblicato da Brandon Dalaly che si è fatto inserire nel corpo il Vivokey Apex, in grado di aprire l’auto elettrica anche senza smartphone",https://video.corriere.it/tecnologia/uomo-si-fa-impiantare-chip-sottopelle-aprire-tesla/cb057e00-2222-11ed-bca3-87e269fdfa32,https://images2.corriereobjects.it/methode_image/Video/2022/08/22/Tecnologia/Foto%20Tecnologia%20-%20Trattate/si_impianta_chip_per_aprire_la_tesla_640_ori_crop_MASTER__0x0.jpg,2022-08-22T15:52:56Z,"Il video pubblicato da Brandon Dalaly che si è fatto inserire nel corpo il Vivokey Apex, in grado di aprire l’auto elettrica anche senza smartphoneBrandon Dalaly ha postato in un video Twitter in cui… [+784 chars]"
32,"{'id': None, 'name': 'Yahoo Entertainment'}",TOM KRISHER,"Ford cutting 3,000 white-collar jobs in bid to lower costs","Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles...",https://news.yahoo.com/ford-cutting-3-000-white-155118871.html,https://s.yimg.com/ny/api/res/1.2/qmbiaU85Ey3H_kbBuKntaQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/ap.org/b20d774168789e8d35ab86ab3b739d42,2022-08-22T15:51:18Z,"DETROIT (AP) Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.
Leaders of the Dearborn, Mic… [+2360 chars]"
33,"{'id': None, 'name': 'The Diplomat'}",Associated Press,"China Fights Brush Fires, Extends Power Rationing in Drought",The drought and heat in southwest China are wilting crops and causing power shortages amid China’s hottest and driest summer on record.,https://thediplomat.com/2022/08/china-fights-brush-fires-extends-power-rationing-in-drought/,https://thediplomat.com/wp-content/uploads/2022/08/sizes/td-story-s-2/thediplomat_2022-08-22-155510.jpg,2022-08-22T15:51:00Z,"Advertisement
Brush fires have forced the evacuation of more than 1,500 people in southwest China and power rationing for factories has reportedly been extended as weeks of record heat and drought b… [+3708 chars]"
34,"{'id': None, 'name': 'New York Post'}",Fox Business,"Elon Musk’s Tesla hiking price of Full Self-Driving system to $15,000","The price of FSD rose from $10,000 to $12,000 in January, making this the second price increase of the year.",https://nypost.com/2022/08/22/elon-musks-tesla-hiking-price-of-full-self-driving-system-to-15000/,https://nypost.com/wp-content/uploads/sites/2/2022/08/elon-musk-tesla.jpg?quality=75&strip=all&w=1024,2022-08-22T15:50:05Z,"Tesla CEO Elon Musk announced on Twitter that the price of its Full Self-Driving system, known as FSD, will increase to $15,000 on Sept. 5.
Musk made the announcement in a tweet on Saturday, stating… [+1199 chars]"
35,"{'id': None, 'name': 'Protothema.gr'}",,"Ακραία ξηρασία πλήττει την Κίνα - Χιλιάδες επιχειρήσεις κλείνουν, σοβαρή έλλειψη νερού",Πάνω από 2 εκατ. έχουν επηρεαστεί από τον παρατεταμένο καύσωνα - Σοβαρή κρίση για την υδροηλεκτρική ενέργεια | Κίνα | Ξηρασία | Καύσωνας | Κόσμος,https://www.protothema.gr/world/article/1276325/akraia-xirasia-plittei-tin-kina-hiliades-epiheiriseis-kleinoun-sovari-elleipsi-nerou/,https://i1.prth.gr/images/640x360share/files/2022-08-22/051_XxjpbeE007310_20220822_PEPFN0A001.jpg,2022-08-22T15:46:00Z,". , , 2,5 . , . . , «» . 
, ,    80% . , .  Toyota, Foxconn  Tesla.
, . , -, , 400 . . , , , . 
, . , , 2,46 . 2,2 . , , , ,   .
, 780.000 , .
  300 . , 5,5 . . :
: «» 
: «»
: 3"
36,"{'id': None, 'name': 'Biztoc.com'}",xluettgen,Ford Dealt a Huge Blow,CEO Jim Farley wants to transform Ford from a legacy automaker into a kind of company in between a startup and a big firm. This involves removing a lot of redundancy and simplifying the... #bev #legacyautomaker #jimfarley #evs #rollovers #gasolinecars #tesla,https://biztoc.com/p/7mdqhk8j?ref=rss,https://cdn.biztoc.com/og/7mdqhk8j.jpg,2022-08-22T15:43:56Z,CEO Jim Farley wants to transform Ford from a legacy automaker into a kind of company in between a startup and a big firm. This involves removing a lot of redundancy and simplifying the decision-maki… [+1302 chars]
37,"{'id': None, 'name': 'SlashGear'}",staff@slashgear.com (Dave McQuilling),The Electric Car Charging Problem Is Worse Than You Realized,A surprising percentage of electric vehicle drivers have had issues using EV charging stations on a regular basis over the past few years.,https://www.slashgear.com/974731/the-electric-car-charging-problem-is-worse-than-you-realized/,https://www.slashgear.com/img/gallery/the-electric-car-charging-problem-is-worse-than-you-realized/l-intro-1661182933.jpg,2022-08-22T15:42:46Z,"Despite advances in charging, battery life, and overall EV efficiency, charging is still one of the biggest problem areas the vehicles have. Consumer research firm J.D. Power recently surveyed over 1… [+1552 chars]"
38,"{'id': None, 'name': 'FX Empire'}",Reuters,"Ford cuts 3,000 jobs as it pivots to EVs, software","By Joseph White (Reuters) -   Ford Motor Co said it will cut a total of 3,000 salaried and contract jobs, mostly in North America and India, as it restructures to catch up with Tesla Inc<TSLA.O> in the race to develop software-driven electric vehicles.",https://www.fxempire.com/news/article/ford-cuts-3000-jobs-as-it-pivots-to-a-software-future-1103260,https://responsive.fxempire.com/width/600/webp-lossy-70.q50/_fxempire_/2022/08/tagreuters.com2022newsml_LYNXMPEI7L0LJ3.jpg,2022-08-22T15:42:37Z,"Ford Chief Executive Jim Farley has been saying for months that he believed the Dearborn, Mich. automaker had too many people, and that not enough of its workforce had the skills required as the auto… [+1212 chars]"
